Gene,Collapsing model,P value,No. participants,No. cases with QV,Proportion cases with QV,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
PREX2,flexnonsynmtr,0.0134,429799,138,0.00779352798328345,2572,0.00624132475272512,1.25,1.04,1.48
PRICKLE2,flexnonsynmtr,0.0809,429799,93,0.00525216016264754,1794,0.0043533968143036,1.21,0.971,1.49
PRKAB1,flexnonsynmtr,0.0957,429799,29,0.0016377703732987,487,0.00118177494345923,1.38,0.916,2.01
PRKACA,flexnonsynmtr,0.0818,429799,27,0.00152482069238154,445,0.0010798559544956,1.41,0.921,2.09
PRKACB,flexnonsynmtr,0.0945,429799,77,0.00434856271531033,1476,0.00358172446929326,1.22,0.96,1.54
PRKAR2A,flexnonsynmtr,0.0537,429799,16,0.000903597447337211,583,0.00141473263251895,0.618,0.35,1.01
PRKDC,flexnonsynmtr,0.00934,429799,281,0.0158694301688598,7597,0.0184352037894451,0.854,0.755,0.963
PRKX,flexnonsynmtr,0.0491,429799,13,0.000734172925961484,518,0.00125700086388476,0.581,0.307,1
PROB1,flexnonsynmtr,0.0167,429799,162,0.00914892415428926,3110,0.00754685846849733,1.22,1.03,1.43
PROCA1,flexnonsynmtr,0.00243,429799,62,0.00350144010843169,938,0.00227619075352106,1.53,1.16,1.98
PRPF31,flexnonsynmtr,0.0612,429799,41,0.0023154684588016,1284,0.00311580909117382,0.744,0.531,1.02
PRPF4,flexnonsynmtr,0.0884,429799,29,0.0016377703732987,940,0.0022810440387098,0.717,0.477,1.04
PRPSAP1,flexnonsynmtr,0.0513,429799,25,0.00141187101146439,851,0.00206507284781068,0.672,0.432,0.999
PRR15,flexnonsynmtr,0.0428,429799,7,0.00039532388321003,342,0.000829911767275269,0.475,0.189,0.989
PRRG2,flexnonsynmtr,0.0489,429799,48,0.00271079234201163,814,0.00197528707181891,1.36,0.992,1.82
PSAP,flexnonsynmtr,0.0776,429799,40,0.00225899361834303,1231,0.00298719703367209,0.753,0.535,1.03
PSAPL1,flexnonsynmtr,0.0867,429799,98,0.00553453436494042,2703,0.00655921493258787,0.838,0.677,1.03
PSG2,flexnonsynmtr,0.0301,429799,110,0.00621223245044333,2056,0.0049891771740291,1.24,1.02,1.51
PSG4,flexnonsynmtr,0.0334,429799,135,0.00762410346190772,2584,0.00627044446385759,1.21,1.01,1.44
PSMC3,flexnonsynmtr,0.0119,429799,23,0.00129892133054724,300,0.000727992778311639,1.76,1.1,2.7
PSMD1,flexnonsynmtr,0.0405,429799,63,0.00355791494889027,1919,0.00465672713860012,0.768,0.587,0.988
PSMD7,flexnonsynmtr,0.024,429799,39,0.00220251877788445,619,0.00150209176591635,1.46,1.03,2.03
PSMD8,flexnonsynmtr,0.0141,429799,15,0.000847122606878636,650,0.00157731768634188,0.537,0.299,0.892
PSORS1C2,flexnonsynmtr,0.00596,429799,23,0.00129892133054724,280,0.000679459926424197,1.88,1.17,2.88
PTGFRN,flexnonsynmtr,0.0655,429799,85,0.00480036143897894,1603,0.00388990807877853,1.23,0.978,1.53
PTGR2,flexnonsynmtr,0.0821,429799,49,0.00276726718247021,876,0.00212573891266999,1.3,0.951,1.73
PTMA,flexnonsynmtr,0.0818,429799,19,0.00107302196871294,287,0.000696446424584801,1.54,0.912,2.45
PTOV1,flexnonsynmtr,0.00247,429799,17,0.000960072287795787,793,0.0019243275773371,0.498,0.289,0.803
PTPN18,flexnonsynmtr,0.0431,429799,92,0.00519568532218896,1700,0.00412529241043262,1.25,1,1.55
PTPN22,flexnonsynmtr,0.0888,429799,103,0.0058169085672333,2002,0.00485813847393301,1.19,0.967,1.45
PTPN5,flexnonsynmtr,0.0565,429799,124,0.00700288021686339,2425,0.00588460829135242,1.2,0.992,1.44
PTPRB,flexnonsynmtr,0.0666,429799,213,0.0120291410176766,4321,0.010485522650282,1.14,0.987,1.31
PTPRCAP,flexnonsynmtr,0.0568,429799,50,0.00282374202292879,879,0.0021330188404531,1.33,0.976,1.76
PTPRN2,flexnonsynmtr,0.00144,429799,167,0.00943129835658214,4931,0.011965774632849,0.782,0.666,0.913
PTPRO,flexnonsynmtr,0.0999,429799,95,0.00536510984356469,2633,0.00638934995098182,0.841,0.678,1.03
PTRHD1,flexnonsynmtr,0.0506,429799,32,0.00180719489467442,514,0.00124729429350728,1.46,0.985,2.08
PTTG1IP,flexnonsynmtr,0.0611,429799,25,0.00141187101146439,850,0.00206264620521631,0.678,0.436,1.01
PUS3,flexnonsynmtr,0.00737,429799,39,0.00220251877788445,1383,0.00335604670801666,0.655,0.463,0.9
PXMP4,flexnonsynmtr,0.00779,429799,32,0.00180719489467442,444,0.00107742931190123,1.67,1.13,2.39
PYCR1,flexnonsynmtr,0.0719,429799,73,0.00412266335347603,1358,0.00329538064315735,1.25,0.972,1.58
PYGB,flexnonsynmtr,0.0716,429799,203,0.0114643926130909,4138,0.0100414470555119,1.14,0.984,1.31
PZP,flexnonsynmtr,0.0905,429799,209,0.0118032416558423,4294,0.0104200033002339,1.13,0.977,1.3
R3HDM1,flexnonsynmtr,0.0965,429799,101,0.00570395888631615,1970,0.0047804859109131,1.19,0.964,1.45
R3HDML,flexnonsynmtr,0.0862,429799,42,0.00237194329926018,730,0.00177144909389166,1.32,0.943,1.8
RAB11FIP3,flexnonsynmtr,0.0723,429799,59,0.00333201558705597,1062,0.0025770944352232,1.28,0.964,1.66
RAB12,flexnonsynmtr,0.039,429799,22,0.00124244649008867,321,0.000778952272793454,1.61,0.995,2.48
RAB1B,flexnonsynmtr,0.0458,429799,20,0.00112949680917151,291,0.00070615299496229,1.6,0.961,2.51
RAB27A,flexnonsynmtr,0.0759,429799,51,0.00288021686338736,1540,0.00373702959533308,0.773,0.572,1.02
RAB28,flexnonsynmtr,0.0938,429799,9,0.000508273564127181,371,0.00090028440251206,0.553,0.251,1.06
RAB29,flexnonsynmtr,0.0717,429799,16,0.000903597447337211,226,0.000548421226328101,1.65,0.925,2.73
RAB3C,flexnonsynmtr,0.0123,429799,16,0.000903597447337211,184,0.000446502237364472,1.99,1.12,3.33
RAB8A,flexnonsynmtr,0.0465,429799,16,0.000903597447337211,217,0.000526581442978752,1.71,0.957,2.84
RAD18,flexnonsynmtr,0.0181,429799,43,0.00242841813971876,1437,0.00348708540811275,0.695,0.501,0.942
RAD54L,flexnonsynmtr,0.0561,429799,142,0.00801942734511775,2776,0.00673635984197703,1.18,0.991,1.4
RALGAPA2,flexnonsynmtr,0.0603,429799,169,0.00954424803749929,4548,0.0110363705192044,0.862,0.734,1.01
RANBP3L,flexnonsynmtr,0.059,429799,40,0.00225899361834303,1244,0.00301874338739893,0.734,0.522,1.01
RANBP9,flexnonsynmtr,0.076,429799,44,0.00248489298017733,761,0.00184667501431719,1.33,0.96,1.81
RANGAP1,flexnonsynmtr,0.099,429799,68,0.00384028915118315,1279,0.00310367587820195,1.24,0.953,1.58
RANGRF,flexnonsynmtr,0.0312,429799,11,0.000621223245044333,485,0.00117692165827048,0.523,0.259,0.945
RASAL1,flexnonsynmtr,0.0741,429799,131,0.00739820410007342,3580,0.00868738048785223,0.853,0.71,1.02
RASSF2,flexnonsynmtr,0.0662,429799,21,0.00118597164963009,728,0.00176659580870291,0.664,0.408,1.02
RASSF4,flexnonsynmtr,0.0237,429799,34,0.00192014457559157,1150,0.00279063898352795,0.681,0.469,0.958
RASSF9,flexnonsynmtr,0.0268,429799,126,0.00711582989778054,2413,0.00585548858021995,1.23,1.02,1.47
RAX,flexnonsynmtr,0.0466,429799,58,0.00327554074659739,1022,0.00248002873144832,1.31,0.99,1.71
RB1,flexnonsynmtr,0.0154,429799,30,0.00169424521375727,1078,0.00261592071673316,0.643,0.431,0.923
RB1CC1,flexnonsynmtr,0.0556,429799,75,0.00423561303439318,2140,0.00519301515195636,0.799,0.625,1.01
RBFA,flexnonsynmtr,0.00237,429799,38,0.00214604393742588,1429,0.00346767226735777,0.619,0.436,0.854
RBFOX1,flexnonsynmtr,0.0599,429799,37,0.0020895690969673,1179,0.00286101161876474,0.729,0.511,1.01
RBM12B,flexnonsynmtr,0.0268,429799,204,0.0115208674535494,4048,0.00982304922201838,1.18,1.02,1.36
RBM15B,flexnonsynmtr,0.00736,429799,155,0.00875360027107923,4478,0.0108665055375984,0.805,0.681,0.946
RBM3,flexnonsynmtr,0.0708,429799,8,0.000451798723668606,86,0.000208691263116003,2.01,0.841,4.16
RBM48,flexnonsynmtr,0.0297,429799,51,0.00288021686338736,850,0.00206264620521631,1.38,1.02,1.83
RCBTB2,flexnonsynmtr,0.02,429799,98,0.00553453436494042,1781,0.00432185046057676,1.28,1.03,1.57
RCC1L,flexnonsynmtr,0.0121,429799,25,0.00141187101146439,933,0.0022640575405492,0.613,0.394,0.911
RCVRN,flexnonsynmtr,0.0428,429799,39,0.00220251877788445,653,0.001584597614125,1.41,0.991,1.95
RDH12,flexnonsynmtr,0.0746,429799,32,0.00180719489467442,1023,0.00248245537404269,0.724,0.492,1.03
RDH5,flexnonsynmtr,0.0154,429799,53,0.00299316654430451,857,0.00207963270337692,1.43,1.06,1.89
RDX,flexnonsynmtr,0.0375,429799,66,0.003727339470266,1153,0.00279791891131107,1.31,1.01,1.68
REC114,flexnonsynmtr,0.0564,429799,39,0.00220251877788445,1236,0.00299933024664395,0.735,0.52,1.01
RECQL5,flexnonsynmtr,0.0675,429799,165,0.00931834867566499,4417,0.0107184803393417,0.864,0.735,1.01
REG3A,flexnonsynmtr,0.0139,429799,15,0.000847122606878636,643,0.00156033118818128,0.541,0.301,0.899
RELT,flexnonsynmtr,0.0914,429799,92,0.00519568532218896,1786,0.00433398367354863,1.2,0.961,1.48
REM1,flexnonsynmtr,0.0317,429799,79,0.00446151239622748,1424,0.00345553905438591,1.29,1.02,1.62
REPS2,flexnonsynmtr,0.0315,429799,19,0.00107302196871294,254,0.000616367218970521,1.73,1.02,2.75
RETSAT,flexnonsynmtr,0.0802,429799,111,0.0062687072909019,3049,0.00739883327024063,0.842,0.69,1.02
REXO2,flexnonsynmtr,0.0811,429799,14,0.00079064776642006,505,0.00122545451015793,0.625,0.339,1.06
RFC4,flexnonsynmtr,0.014,429799,36,0.00203309425650873,1237,0.00300175688923833,0.663,0.462,0.923
RFPL1,flexnonsynmtr,0.0678,429799,33,0.001863669735133,1071,0.00259893421857255,0.718,0.491,1.01
RFWD3,flexnonsynmtr,0.0348,429799,81,0.00457446207714463,1448,0.00351377847665085,1.28,1.01,1.6
RGS16,flexnonsynmtr,0.00391,429799,38,0.00214604393742588,522,0.00126670743426225,1.68,1.17,2.34
RHOBTB1,flexnonsynmtr,0.0888,429799,60,0.00338849042751454,1094,0.00265474699824311,1.26,0.957,1.64
RHOG,flexnonsynmtr,0.0943,429799,23,0.00129892133054724,369,0.000895431117323316,1.47,0.919,2.24
RIMKLB,flexnonsynmtr,0.0153,429799,29,0.0016377703732987,412,0.000999776748881318,1.65,1.09,2.4
RIMS1,flexnonsynmtr,0.0661,429799,173,0.0097701473993336,3478,0.00843986294322627,1.16,0.985,1.35
RIOK1,flexnonsynmtr,0.027,429799,84,0.00474388659852036,1503,0.00364724381934131,1.29,1.02,1.61
RIPOR1,flexnonsynmtr,0.0905,429799,120,0.00677698085502908,3253,0.00789386835949254,0.852,0.704,1.02
RIPPLY3,flexnonsynmtr,0.045,429799,23,0.00129892133054724,820,0.00198984692738515,0.655,0.413,0.99
RLN2,flexnonsynmtr,0.0813,429799,14,0.00079064776642006,509,0.00123516108053541,0.62,0.337,1.05
RMND1,flexnonsynmtr,0.0165,429799,36,0.00203309425650873,1245,0.0030211700299933,0.671,0.468,0.935
RMND5B,flexnonsynmtr,0.0432,429799,92,0.00519568532218896,1727,0.00419081176048067,1.25,1,1.55
RNASE1,flexnonsynmtr,0.0972,429799,62,0.00350144010843169,1170,0.00283917183541539,1.24,0.947,1.61
RNASE11,flexnonsynmtr,0.0684,429799,30,0.00169424521375727,988,0.00239752288323967,0.707,0.474,1.02
RNASE3,flexnonsynmtr,0.0918,429799,18,0.00101654712825436,631,0.00153121147704881,0.669,0.394,1.07
RNASET2,flexnonsynmtr,0.00518,429799,60,0.00338849042751454,940,0.0022810440387098,1.48,1.12,1.92
RNF10,flexnonsynmtr,0.0144,429799,81,0.00457446207714463,2484,0.00602778020442037,0.759,0.6,0.948
RNF149,flexnonsynmtr,0.0949,429799,48,0.00271079234201163,858,0.00208205934597129,1.29,0.942,1.73
RNF222,flexnonsynmtr,0.0989,429799,25,0.00141187101146439,812,0.00197043378663017,0.707,0.455,1.05
RNF24,flexnonsynmtr,0.0481,429799,26,0.00146834585192297,393,0.000953670539588247,1.53,0.986,2.28
RNF25,flexnonsynmtr,0.0705,429799,63,0.00355791494889027,1137,0.00275909262980111,1.27,0.969,1.64
RNPC3,flexnonsynmtr,0.0893,429799,44,0.00248489298017733,1324,0.0032128747949487,0.765,0.553,1.03
ROPN1L,flexnonsynmtr,0.0482,429799,24,0.00135539617100582,823,0.00199712685516826,0.661,0.421,0.992
RORA,flexnonsynmtr,0.02,429799,56,0.00316259106568024,930,0.00225677761276608,1.39,1.04,1.83
RPL14,flexnonsynmtr,0.00502,429799,91,0.00513921048173039,2824,0.0068528386865069,0.747,0.599,0.921
RPL15,flexnonsynmtr,0.0668,429799,10,0.000564748404585757,421,0.00102161653223067,0.558,0.266,1.04
RPL21,flexnonsynmtr,0.0223,429799,4,0.000225899361834303,279,0.000677033283829824,0.337,0.0911,0.872
RPL22,flexnonsynmtr,0.0249,429799,11,0.000621223245044333,120,0.000291197111324656,2.12,1.03,3.93
RPL24,flexnonsynmtr,0.0416,429799,14,0.00079064776642006,176,0.000427089096609495,1.84,0.984,3.17
RPL36A,flexnonsynmtr,0.0901,429799,4,0.000225899361834303,37,0.0000897857759917688,2.49,0.644,6.94
RPL39L,flexnonsynmtr,0.094,429799,21,0.00118597164963009,725,0.00175931588091979,0.682,0.419,1.05
RPL4,flexnonsynmtr,0.0375,429799,51,0.00288021686338736,870,0.00211117905710375,1.36,1.01,1.81
RPL7,flexnonsynmtr,0.0952,429799,15,0.000847122606878636,217,0.000526581442978752,1.6,0.881,2.7
RPLP2,flexnonsynmtr,0.0647,429799,5,0.000282374202292879,261,0.000633353717131126,0.434,0.14,1.03
RPSA,flexnonsynmtr,0.0792,429799,21,0.00118597164963009,325,0.000788658843170942,1.49,0.909,2.32
RRAGB,flexnonsynmtr,0.0456,429799,25,0.00141187101146439,384,0.000931830756238898,1.52,0.972,2.28
RRP12,flexnonsynmtr,0.0446,429799,203,0.0114643926130909,4079,0.00989827514244392,1.16,1,1.33
RRP1B,flexnonsynmtr,0.0619,429799,45,0.00254136782063591,1367,0.0033172204265067,0.754,0.547,1.02
RSPO2,flexnonsynmtr,0.0684,429799,32,0.00180719489467442,523,0.00126913407685662,1.42,0.959,2.03
RTEL1,flexnonsynmtr,0.0866,429799,167,0.00943129835658214,4410,0.0107014938411811,0.871,0.741,1.02
RUVBL2,flexnonsynmtr,0.0859,429799,51,0.00288021686338736,1519,0.00368607010085127,0.777,0.576,1.03
RWDD2B,flexnonsynmtr,0.00513,429799,49,0.00276726718247021,728,0.00176659580870291,1.55,1.13,2.07
RYR1,flexnonsynmtr,0.0377,429799,427,0.0241147568758118,10908,0.0264698174194112,0.902,0.816,0.995
RYR2,flexnonsynmtr,0.0784,429799,222,0.0125374145818038,5821,0.0141254865418402,0.885,0.769,1.01
S100A7A,flexnonsynmtr,0.031,429799,8,0.000451798723668606,387,0.000939110684022015,0.48,0.206,0.955
SALL3,flexnonsynmtr,0.0438,429799,154,0.00869712543062066,3014,0.0073139007794376,1.18,1,1.39
SAMD14,flexnonsynmtr,0.095,429799,77,0.00434856271531033,1470,0.00356716461372703,1.22,0.957,1.54
SAMD4B,flexnonsynmtr,0.0493,429799,41,0.0023154684588016,687,0.00166710346233365,1.39,0.986,1.9
SAMD8,flexnonsynmtr,0.00795,429799,28,0.00158129553284012,379,0.000919697543267038,1.74,1.14,2.55
SAP130,flexnonsynmtr,0.00801,429799,33,0.001863669735133,1218,0.00295565067994525,0.633,0.434,0.894
SASS6,flexnonsynmtr,0.00424,429799,61,0.00344496526797312,951,0.0023077371072479,1.49,1.13,1.93
SAT2,flexnonsynmtr,0.0974,429799,23,0.00129892133054724,358,0.000868738048785223,1.44,0.902,2.2
SAV1,flexnonsynmtr,0.0384,429799,21,0.00118597164963009,752,0.00182483523096784,0.638,0.392,0.983
SBF1,flexnonsynmtr,0.0356,429799,339,0.0191449709154572,7014,0.0170204711569261,1.13,1.01,1.26
SCAF11,flexnonsynmtr,0.0704,429799,110,0.00621223245044333,2116,0.00513477572969143,1.2,0.978,1.45
SCAMP2,flexnonsynmtr,0.0844,429799,22,0.00124244649008867,751,0.00182240858837347,0.68,0.423,1.04
SCEL,flexnonsynmtr,0.0155,429799,52,0.00293669170384594,1650,0.00400396028071402,0.713,0.53,0.94
SCRN3,flexnonsynmtr,0.0665,429799,47,0.00265431750155306,1422,0.00345068576919717,0.762,0.557,1.02
SCRT1,flexnonsynmtr,0.0809,429799,45,0.00254136782063591,1378,0.0033439134950448,0.767,0.556,1.03
SCRT2,flexnonsynmtr,0.0742,429799,51,0.00288021686338736,915,0.0022203779738505,1.3,0.958,1.72
SEC14L2,flexnonsynmtr,0.0339,429799,47,0.00265431750155306,1507,0.0036569503897188,0.73,0.534,0.977
SEC14L5,flexnonsynmtr,0.0245,429799,144,0.0081323770260349,2744,0.00665870727895713,1.22,1.02,1.44
SEC23B,flexnonsynmtr,0.00797,429799,48,0.00271079234201163,1620,0.00393116100288285,0.686,0.504,0.914
SEC24A,flexnonsynmtr,0.0614,429799,100,0.00564748404585757,2820,0.00684313211612941,0.824,0.668,1.01
SEL1L2,flexnonsynmtr,0.0747,429799,84,0.00474388659852036,1589,0.00385593508245732,1.22,0.969,1.52
SELENOI,flexnonsynmtr,0.0962,429799,16,0.000903597447337211,574,0.0013928928491696,0.647,0.367,1.06
SELENOS,flexnonsynmtr,0.0641,429799,61,0.00344496526797312,1105,0.0026814400667812,1.29,0.979,1.67
SELPLG,flexnonsynmtr,0.0202,429799,82,0.00463093691760321,1434,0.00347980548032964,1.31,1.04,1.64
SEPT6,flexnonsynmtr,0.0383,429799,4,0.000225899361834303,244,0.0005921007930268,0.374,0.101,0.971
SERINC4,flexnonsynmtr,0.0142,429799,107,0.0060428079290676,1938,0.00470283334789319,1.28,1.05,1.56
SERPINA4,flexnonsynmtr,0.0459,429799,75,0.00423561303439318,1362,0.00330508721353484,1.28,0.999,1.62
SERPINB7,flexnonsynmtr,0.0549,429799,66,0.003727339470266,1183,0.00287071818914223,1.28,0.986,1.65
SESN2,flexnonsynmtr,0.0244,429799,43,0.00242841813971876,1422,0.00345068576919717,0.707,0.51,0.958
SETD2,flexnonsynmtr,0.00699,429799,214,0.0120856158581352,4079,0.00989827514244392,1.22,1.05,1.4
SETD3,flexnonsynmtr,0.019,429799,47,0.00265431750155306,1544,0.00374673616571057,0.708,0.518,0.947
SETD4,flexnonsynmtr,0.0809,429799,45,0.00254136782063591,1358,0.00329538064315735,0.763,0.554,1.03
SEZ6L,flexnonsynmtr,0.082,429799,63,0.00355791494889027,1818,0.00441163623656853,0.8,0.612,1.03
SF1,flexnonsynmtr,0.075,429799,23,0.00129892133054724,770,0.00186851479766654,0.687,0.433,1.04
SF3B2,flexnonsynmtr,0.0106,429799,61,0.00344496526797312,1002,0.00243149587956087,1.42,1.08,1.84
SGCB,flexnonsynmtr,0.1,429799,57,0.00321906590613882,1664,0.00403793327703523,0.798,0.602,1.04
SGCZ,flexnonsynmtr,0.058,429799,47,0.00265431750155306,799,0.00193888743290333,1.34,0.979,1.81
SGF29,flexnonsynmtr,0.0333,429799,7,0.00039532388321003,348,0.000844471622841501,0.456,0.182,0.95
SGO1,flexnonsynmtr,0.0792,429799,76,0.00429208787485175,1403,0.0034045795599041,1.23,0.966,1.56
SH2B3,flexnonsynmtr,0.0117,429799,94,0.00530863500310612,2841,0.00689409161061122,0.769,0.619,0.945
SH2D3A,flexnonsynmtr,0.0831,429799,94,0.00530863500310612,1810,0.00439222309581356,1.21,0.968,1.48
SH3BP1,flexnonsynmtr,0.0686,429799,56,0.00316259106568024,1663,0.00403550663444085,0.777,0.584,1.01
SH3RF1,flexnonsynmtr,0.024,429799,77,0.00434856271531033,1341,0.00325412771905303,1.31,1.03,1.65
SH3TC1,flexnonsynmtr,0.044,429799,283,0.0159823798497769,5717,0.0138731157120255,1.13,1,1.28
SHCBP1L,flexnonsynmtr,0.00579,429799,56,0.00316259106568024,1858,0.00450870194034342,0.692,0.521,0.904
SHISAL2A,flexnonsynmtr,0.0517,429799,20,0.00112949680917151,719,0.00174475602535356,0.642,0.389,0.999
SHROOM2,flexnonsynmtr,0.0932,429799,139,0.00785000282374202,2780,0.00674606641235452,1.16,0.969,1.37
SHROOM4,flexnonsynmtr,0.0363,429799,76,0.00429208787485175,2232,0.0054162662706386,0.785,0.616,0.988
SIGLECL1,flexnonsynmtr,0.0182,429799,23,0.00129892133054724,304,0.000737699348689128,1.72,1.07,2.62
SIRPB2,flexnonsynmtr,0.0359,429799,69,0.00389676399164172,1231,0.00298719703367209,1.3,1.01,1.66
SIRPG,flexnonsynmtr,0.0195,429799,102,0.00576043372677472,1855,0.0045014220125603,1.28,1.03,1.56
SIRT2,flexnonsynmtr,0.071,429799,68,0.00384028915118315,1257,0.00305028974112577,1.26,0.973,1.61
SKI,flexnonsynmtr,0.0747,429799,39,0.00220251877788445,1205,0.00292410432621842,0.746,0.528,1.03
SKOR2,flexnonsynmtr,0.0454,429799,58,0.00327554074659739,1006,0.00244120244993836,1.32,0.997,1.73
SLAIN1,flexnonsynmtr,0.0143,429799,99,0.00559100920539899,1764,0.00428059753647244,1.3,1.05,1.59
SLAMF1,flexnonsynmtr,0.0672,429799,33,0.001863669735133,1062,0.0025770944352232,0.723,0.495,1.02
SLC10A3,flexnonsynmtr,0.0129,429799,37,0.0020895690969673,562,0.00136377313803714,1.55,1.08,2.16
SLC10A6,flexnonsynmtr,0.0244,429799,20,0.00112949680917151,750,0.0018199819457791,0.602,0.365,0.937
SLC11A1,flexnonsynmtr,0.0911,429799,95,0.00536510984356469,2639,0.00640390980654805,0.835,0.673,1.03
SLC11A2,flexnonsynmtr,0.0593,429799,59,0.00333201558705597,1054,0.00255768129446823,1.3,0.978,1.69
SLC16A2,flexnonsynmtr,0.00394,429799,63,0.00355791494889027,993,0.00240965609621153,1.48,1.13,1.91
SLC16A8,flexnonsynmtr,0.0608,429799,88,0.00496978596035466,1639,0.00397726721217592,1.24,0.986,1.53
SLC17A7,flexnonsynmtr,0.0218,429799,17,0.000960072287795787,681,0.00165254360676742,0.581,0.336,0.938
SLC19A3,flexnonsynmtr,0.0257,429799,30,0.00169424521375727,1020,0.00247517544625957,0.662,0.444,0.951
SLC1A6,flexnonsynmtr,0.0679,429799,30,0.00169424521375727,985,0.00239024295545655,0.714,0.479,1.03
SLC25A12,flexnonsynmtr,0.0025,429799,47,0.00265431750155306,671,0.0016282771808237,1.62,1.18,2.19
SLC25A39,flexnonsynmtr,0.0146,429799,72,0.00406618851301745,1221,0.00296293060772837,1.36,1.05,1.72
SLC25A46,flexnonsynmtr,0.00824,429799,96,0.00542158468402327,1686,0.00409131941411141,1.34,1.07,1.64
SLC26A1,flexnonsynmtr,0.00972,429799,164,0.00926187383520641,4670,0.0113324209157178,0.815,0.693,0.953
SLC28A1,flexnonsynmtr,0.0618,429799,61,0.00344496526797312,1786,0.00433398367354863,0.782,0.595,1.01
SLC30A8,flexnonsynmtr,0.0916,429799,30,0.00169424521375727,939,0.00227861739611543,0.728,0.488,1.05
SLC33A1,flexnonsynmtr,0.0129,429799,85,0.00480036143897894,1491,0.00361812410820885,1.33,1.06,1.66
SLC34A3,flexnonsynmtr,0.0181,429799,135,0.00762410346190772,3826,0.00928433456606777,0.814,0.68,0.967
SLC35D1,flexnonsynmtr,0.0537,429799,16,0.000903597447337211,584,0.00141715927511332,0.616,0.35,1.01
SLC35G5,flexnonsynmtr,0.00467,429799,90,0.00508273564127181,1517,0.00368121681566252,1.38,1.1,1.7
SLC37A2,flexnonsynmtr,0.00225,429799,51,0.00288021686338736,1798,0.00436310338468109,0.66,0.489,0.872
SLC39A10,flexnonsynmtr,0.0535,429799,42,0.00237194329926018,710,0.00172291624200421,1.37,0.979,1.87
SLC39A9,flexnonsynmtr,0.0425,429799,10,0.000564748404585757,437,0.00106044281374062,0.529,0.252,0.982
SLC44A4,flexnonsynmtr,0.0409,429799,105,0.00592985824815045,2960,0.00718286207934151,0.816,0.665,0.992
SLC45A1,flexnonsynmtr,0.0961,429799,113,0.00638165697181905,2228,0.00540655970026111,1.17,0.963,1.42
SLC45A2,flexnonsynmtr,0.00327,429799,90,0.00508273564127181,2850,0.00691593139396057,0.735,0.589,0.908
SLC45A3,flexnonsynmtr,0.0705,429799,66,0.003727339470266,1931,0.00468584684973258,0.796,0.613,1.02
SLC5A3,flexnonsynmtr,0.0508,429799,41,0.0023154684588016,692,0.00167923667530551,1.38,0.978,1.89
SLC5A7,flexnonsynmtr,0.0593,429799,9,0.000508273564127181,402,0.000975510322937596,0.527,0.239,1.01
SLC6A17,flexnonsynmtr,0.0387,429799,59,0.00333201558705597,1019,0.0024727488036652,1.33,1.01,1.73
SLC6A18,flexnonsynmtr,0.0639,429799,164,0.00926187383520641,3261,0.00791328150024752,1.16,0.989,1.36
SLC6A2,flexnonsynmtr,0.0348,429799,73,0.00412266335347603,1297,0.00314735544490065,1.3,1.01,1.65
SLC6A9,flexnonsynmtr,0.0826,429799,49,0.00276726718247021,875,0.00212331227007561,1.29,0.949,1.73
SLC7A8,flexnonsynmtr,0.0304,429799,62,0.00350144010843169,1902,0.00461547421449579,0.757,0.578,0.975
SLC9A3R2,flexnonsynmtr,0.0892,429799,91,0.00513921048173039,1757,0.00426361103831183,1.2,0.962,1.49
SLC9A4,flexnonsynmtr,0.0887,429799,103,0.0058169085672333,2006,0.00486784504431049,1.19,0.968,1.45
SLCO1C1,flexnonsynmtr,0.0996,429799,79,0.00446151239622748,1489,0.0036132708230201,1.22,0.957,1.53
SLITRK3,flexnonsynmtr,0.0522,429799,34,0.00192014457559157,1097,0.00266202692602623,0.711,0.49,1
SLTM,flexnonsynmtr,0.0618,429799,64,0.00361438978934884,1141,0.0027687992001786,1.27,0.974,1.64
SLX4,flexnonsynmtr,0.0164,429799,277,0.0156435308070255,7402,0.0179620084835425,0.863,0.762,0.974
SMAD4,flexnonsynmtr,0.0715,429799,7,0.00039532388321003,326,0.000791085485765315,0.496,0.198,1.03
SMAD9,flexnonsynmtr,0.00407,429799,129,0.00728525441915627,2307,0.00559826446521651,1.31,1.09,1.56
SMAP1,flexnonsynmtr,0.0667,429799,36,0.00203309425650873,1155,0.00280277219649981,0.729,0.508,1.02
SMARCA4,flexnonsynmtr,0.0371,429799,117,0.00660755633365336,2224,0.00539685312988362,1.22,1.01,1.47
SMARCA5,flexnonsynmtr,0.0993,429799,25,0.00141187101146439,832,0.00201896663851761,0.707,0.455,1.05
SMARCE1,flexnonsynmtr,0.0808,429799,21,0.00118597164963009,331,0.000803218698737175,1.48,0.904,2.3
SMC2,flexnonsynmtr,0.0939,429799,106,0.00598633308860902,2068,0.00501829688516157,1.19,0.967,1.44
SMCP,flexnonsynmtr,0.0705,429799,32,0.00180719489467442,525,0.00127398736204537,1.4,0.947,2
SMG5,flexnonsynmtr,0.0615,429799,116,0.00655108149319478,2251,0.00546237247993167,1.2,0.987,1.45
SMTNL1,flexnonsynmtr,0.0981,429799,43,0.00242841813971876,1289,0.00312794230414568,0.77,0.554,1.04
